Time,Temperature,Voltage,Amps,Resistance
Tue Aug  8 13:21:03 2023,294.493,"[0.0, 0.25, 0.5, 0.75, 1.0]","[2.4119e-09, 4.482385e-06, 8.970615000000001e-06, 1.3449680000000001e-05, 1.794105e-05]",1
Tue Aug  8 13:21:03 2023,294.492,"[0.0, 0.25, 0.5, 0.75, 1.0]","[2.4119e-09, 4.482385e-06, 8.970615000000001e-06, 1.3449680000000001e-05, 1.794105e-05]",1
Tue Aug  8 13:21:09 2023,294.493,"[0.0, 0.25, 0.5, 0.75, 1.0]","[2.4119e-09, 4.482385e-06, 8.970615000000001e-06, 1.3449680000000001e-05, 1.794105e-05]",1
Tue Aug  8 13:21:14 2023,294.492,"[0.0, 0.25, 0.5, 0.75, 1.0]","[2.4119e-09, 4.482385e-06, 8.970615000000001e-06, 1.3449680000000001e-05, 1.794105e-05]",1
Tue Aug  8 13:21:20 2023,294.492,"[0.0, 0.25, 0.5, 0.75, 1.0]","[2.4119e-09, 4.482385e-06, 8.970615000000001e-06, 1.3449680000000001e-05, 1.794105e-05]",1
Tue Aug  8 13:21:25 2023,294.493,"[0.0, 0.25, 0.5, 0.75, 1.0]","[2.4119e-09, 4.482385e-06, 8.970615000000001e-06, 1.3449680000000001e-05, 1.794105e-05]",1
Tue Aug  8 13:21:30 2023,294.492,"[0.0, 0.25, 0.5, 0.75, 1.0]","[2.4119e-09, 4.482385e-06, 8.970615000000001e-06, 1.3449680000000001e-05, 1.794105e-05]",1
Tue Aug  8 13:21:36 2023,294.490,"[0.0, 0.25, 0.5, 0.75, 1.0]","[2.4119e-09, 4.482385e-06, 8.970615000000001e-06, 1.3449680000000001e-05, 1.794105e-05]",1
Tue Aug  8 13:21:41 2023,294.491,"[0.0, 0.25, 0.5, 0.75, 1.0]","[2.4119e-09, 4.482385e-06, 8.970615000000001e-06, 1.3449680000000001e-05, 1.794105e-05]",1
Tue Aug  8 13:21:47 2023,294.490,"[0.0, 0.25, 0.5, 0.75, 1.0]","[2.4119e-09, 4.482385e-06, 8.970615000000001e-06, 1.3449680000000001e-05, 1.794105e-05]",1
Tue Aug  8 13:21:52 2023,Platform —294.402. |,"[0.0, 0.25, 0.5, 0.75, 1.0]","[2.4119e-09, 4.482385e-06, 8.970615000000001e-06, 1.3449680000000001e-05, 1.794105e-05]",1
Tue Aug  8 13:22:06 2023,Platform —294.493. |,"[0.0, 0.25, 0.5, 0.75, 1.0]","[2.4119e-09, 4.482385e-06, 8.970615000000001e-06, 1.3449680000000001e-05, 1.794105e-05]",1
