Time,Temperature,Voltage,Amps,Resistance
Thu Aug 10 13:04:56 2023,294.080,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435418, -0.0001275945, -0.00011164590000000001, -9.56985e-05, -7.973742999999999e-05, -6.379533999999999e-05, -4.784772e-05, -3.189919e-05, -1.5949919999999996e-05, 2.3026e-09]",55732.10463415741
Thu Aug 10 13:05:00 2023,],"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.00014354249999999998, -0.00012759499999999996, -0.0001116481, -9.56997e-05, -7.973849000000001e-05, -6.379620000000001e-05, -4.7848160000000004e-05, -3.1899640000000005e-05, -1.5950899999999997e-05, 1.3243e-09]",55731.991167139415
Thu Aug 10 13:05:08 2023,294.048,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435444, -0.00012759599999999998, -0.0001116476, -9.57017e-05, -7.973806999999999e-05, -6.379608e-05, -4.7848440000000004e-05, -3.190004e-05, -1.595075e-05, 1.2692000000000001e-09]",55731.46139328568
