Time,Temperature,Voltage,Amps,Resistance
Thu Aug 10 14:07:24 2023,293.968,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0009999980000000002, -0.0010000011000000002, -0.0010000003000000001, -0.0010000007, -1.1518399999999998e-06, -1.6876529999999997e-07, -3.2710899999999995e-08, -7.721e-09, -1.9876e-09, 5.734e-10]",6110.899528068236
Thu Aug 10 14:07:27 2023,293.956,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0009999999, -0.0010000009, -0.0010000005999999998, -0.0010000001, -1.15089e-06, -1.688683e-07, -3.2801099999999996e-08, -7.8022e-09, -1.7668e-09, 9.206e-10]",6110.89489974047
Thu Aug 10 14:07:36 2023,293.947,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0009999984, -0.0009999999, -0.0010000004000000002, -0.0010000002, -1.149452e-06, -1.686796e-07, -3.21736e-08, -7.258999999999999e-09, -1.6618e-09, 7.972e-10]",6110.899545497233
Thu Aug 10 14:07:44 2023,293.939,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0009999996, -0.0009999999999999998, -0.0010000020999999999, -0.0010000005999999998, -1.145718e-06, -1.683054e-07, -3.19321e-08, -7.509000000000001e-09, -1.7509999999999998e-09, 9.694e-10]",6110.89489763544
Thu Aug 10 14:07:53 2023,293.932,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0009999997, -0.000999998, -0.0010000007999999999, -0.0010000003000000001, -1.143718e-06, -1.683036e-07, -3.17919e-08, -6.8623e-09, -1.9913e-09, 9.616e-10]",6110.900116725046
Thu Aug 10 14:08:01 2023,293.923,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0009999990000000001, -0.0010000005, -0.0009999994, -0.0010000007999999999, -1.146963e-06, -1.692363e-07, -3.22497e-08, -7.4297000000000005e-09, -1.6144000000000001e-09, 9.672e-10]",6110.898470032055
Thu Aug 10 14:08:10 2023,293.917,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0009999979999999998, -0.0009999999, -0.0009999989000000003, -0.0009999996, -1.144474e-06, -1.691755e-07, -3.1928200000000004e-08, -7.0851999999999995e-09, -1.8721e-09, 9.372e-10]",6110.903815053601
