Time,Temperature,Voltage,Amps,Resistance
Thu Aug 10 11:06:10 2023,294.073,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.00014354149999999997, -0.00012759529999999998, -0.00011164519999999999, -9.569940000000001e-05, -7.973754000000001e-05, -6.379537000000001e-05, -4.784754e-05, -3.18988e-05, -1.594957e-05, 2.6126000000000003e-09]",55731.894716899966
Thu Aug 10 11:06:14 2023,294.073,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.00014354300000000002, -0.00012759729999999999, -0.00011164689999999999, -9.570080000000001e-05, -7.973791e-05, -6.379586000000001e-05, -4.7847890000000006e-05, -3.189914e-05, -1.5949989999999997e-05, 2.381e-09]",55731.210606762186
Thu Aug 10 11:06:23 2023,294.073,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435418, -0.0001275947, -0.00011164719999999998, -9.569860000000002e-05, -7.973723e-05, -6.379486e-05, -4.784699e-05, -3.189836e-05, -1.594891e-05, 3.3756000000000002e-09]",55731.43659897316
Thu Aug 10 11:06:32 2023,294.072,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.000143541, -0.0001275936, -0.00011164579999999998, -9.56985e-05, -7.973722e-05, -6.379520000000001e-05, -4.784722e-05, -3.18985e-05, -1.5949230000000002e-05, 2.6665000000000003e-09]",55732.12634130059
Thu Aug 10 11:06:41 2023,294.073,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435438, -0.0001275949, -0.0001116473, -9.569909999999999e-05, -7.973892000000001e-05, -6.379656000000001e-05, -4.7848550000000005e-05, -3.190008e-05, -1.595053e-05, 1.4773999999999999e-09]",55731.866581871174
Thu Aug 10 11:06:50 2023,294.072,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435408, -0.0001275952, -0.0001116457, -9.569879999999999e-05, -7.973718e-05, -6.379534999999999e-05, -4.784731e-05, -3.1898480000000005e-05, -1.5949169999999998e-05, 2.8533e-09]",55731.8817422594
Thu Aug 10 11:06:59 2023,294.072,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.000143542, -0.00012759590000000002, -0.00011164839999999999, -9.569940000000001e-05, -7.973829e-05, -6.379602e-05, -4.784823e-05, -3.189916e-05, -1.5950230000000004e-05, 1.9176e-09]",55731.681767510156
Thu Aug 10 11:07:08 2023,294.072,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.00014353939999999998, -0.0001275934, -0.00011164440000000003, -9.569879999999999e-05, -7.973702e-05, -6.379506e-05, -4.784691e-05, -3.1898370000000004e-05, -1.594921e-05, 2.84e-09]",55732.52151682256
Thu Aug 10 11:07:17 2023,294.072,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435404, -0.0001275924, -0.00011164640000000002, -9.56989e-05, -7.973792e-05, -6.379596e-05, -4.7848080000000006e-05, -3.1898829999999996e-05, -1.5950079999999997e-05, 2.2466e-09]",55732.626373959065
Thu Aug 10 11:07:26 2023,294.072,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.00014353939999999998, -0.00012759430000000002, -0.0001116438, -9.569829999999998e-05, -7.973802999999999e-05, -6.379605e-05, -4.7848529999999996e-05, -3.189986e-05, -1.595066e-05, 1.2330999999999998e-09]",55733.26499698425
