Time,Temperature,Voltage,Amps,Resistance
Wed Aug  9 17:45:04 2023,294.016,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435404, -0.00012759289999999998, -0.00011164500000000002, -9.569839999999999e-05, -7.973432e-05, -6.379309000000001e-05, -4.784559e-05, -3.189744000000001e-05, -1.594853e-05, 4.4249e-09]",55731.79727685153
Wed Aug  9 17:45:08 2023,294.015,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.00014354169999999998, -0.0001275952, -0.00011164670000000002, -9.57007e-05, -7.973568999999999e-05, -6.37937e-05, -4.784652e-05, -3.189814e-05, -1.594953e-05, 3.1908e-09]",55731.383054998696
Wed Aug  9 17:45:17 2023,294.015,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.000143542, -0.0001275947, -0.0001116473, -9.56995e-05, -7.973616e-05, -6.379482e-05, -4.7847220000000006e-05, -3.1899070000000006e-05, -1.595031e-05, 2.4305e-09]",55731.82996421063
