Time,Temperature,Voltage,Amps,Resistance
Thu Aug 10 12:09:30 2023,294.051,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435167, -0.00012757150000000002, -0.0001116225, -9.567839999999999e-05, -7.972996e-05, -6.378805e-05, -4.784072e-05, -3.1891690000000004e-05, -1.5942909999999997e-05, 7.301099999999999e-09]",55740.827431079335
Thu Aug 10 12:09:35 2023,294.050,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.00014352010000000002, -0.00012757370000000001, -0.00011162369999999999, -9.567850000000001e-05, -7.972945e-05, -6.378748000000001e-05, -4.783976e-05, -3.1890789999999996e-05, -1.5942210000000002e-05, 8.491e-09]",55739.23136817728
Thu Aug 10 12:09:44 2023,294.050,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435227, -0.0001275778, -0.0001116281, -9.56818e-05, -7.973065999999999e-05, -6.378857e-05, -4.78411e-05, -3.1892660000000004e-05, -1.5944e-05, 7.014899999999999e-09]",55738.279436090605
