Time,Temperature,Voltage,Amps,Resistance
Thu Aug 10 14:03:12 2023,294.026,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001434915, -0.00012754790000000003, -0.00011159750000000002, -9.565149999999999e-05, -7.972291e-05, -6.378123e-05, -4.783319000000001e-05, -3.1884779999999995e-05, -1.593543e-05, 1.2819199999999998e-08]",55750.12402294383
Thu Aug 10 14:03:15 2023,294.026,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001434966, -0.0001275497, -0.00011160039999999999, -9.56533e-05, -7.972509e-05, -6.378297999999998e-05, -4.7835249999999996e-05, -3.1886660000000005e-05, -1.593755e-05, 1.14628e-08]",55749.35692891318
Thu Aug 10 14:03:23 2023,294.026,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.00014350000000000002, -0.00012755140000000003, -0.00011160409999999999, -9.565729999999999e-05, -7.972567e-05, -6.378368e-05, -4.7835890000000007e-05, -3.188741e-05, -1.593815e-05, 1.10119e-08]",55748.107714594
Thu Aug 10 14:03:31 2023,294.026,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435042, -0.00012755560000000002, -0.0001116087, -9.566099999999999e-05, -7.972659e-05, -6.378423999999999e-05, -4.783644e-05, -3.18877e-05, -1.593881e-05, 1.03639e-08]",55746.2407420805
