Time,Temperature,Voltage,Amps,Resistance
Thu Aug 10 12:33:32 2023,294.049,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.00014354289999999998, -0.00012759759999999998, -0.00011164920000000002, -9.570239999999999e-05, -7.973769e-05, -6.379583e-05, -4.7847929999999995e-05, -3.189934e-05, -1.594997e-05, 2.4312e-09]",55730.8551774357
Thu Aug 10 12:33:35 2023,294.048,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.000143544, -0.0001275979, -0.00011164809999999999, -9.5702e-05, -7.973775e-05, -6.379580000000001e-05, -4.784804e-05, -3.1899340000000004e-05, -1.5950129999999997e-05, 2.3395e-09]",55730.789333027235
Thu Aug 10 12:33:43 2023,294.049,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435427, -0.0001275964, -0.00011164540000000001, -9.57011e-05, -7.973676e-05, -6.379439e-05, -4.7846910000000005e-05, -3.18983e-05, -1.594897e-05, 3.1952e-09]",55731.07658999599
Thu Aug 10 12:33:51 2023,294.049,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435419, -0.0001275949, -0.0001116459, -9.569879999999999e-05, -7.973625e-05, -6.379411999999999e-05, -4.7846500000000003e-05, -3.1897849999999995e-05, -1.594847e-05, 3.9913e-09]",55731.250282474364
Thu Aug 10 12:33:59 2023,294.050,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.000143543, -0.00012759580000000002, -0.00011164730000000002, -9.570140000000001e-05, -7.973684e-05, -6.379494e-05, -4.784716e-05, -3.1898529999999995e-05, -1.5949179999999998e-05, 3.2798000000000006e-09]",55730.9533859662
Thu Aug 10 12:34:07 2023,294.049,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.00014354260000000002, -0.0001275947, -0.0001116478, -9.570000000000001e-05, -7.973811000000001e-05, -6.379595000000002e-05, -4.784796999999999e-05, -3.1899450000000005e-05, -1.5950200000000002e-05, 2.5143e-09]",55731.66912658765
Thu Aug 10 12:34:15 2023,294.056,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435413, -0.000127598, -0.00011164700000000001, -9.57017e-05, -7.973777999999999e-05, -6.379564e-05, -4.784782e-05, -3.189923e-05, -1.594993e-05, 2.3718e-09]",55731.35925328597
Thu Aug 10 12:34:23 2023,294.049,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435432, -0.0001275968, -0.00011164740000000001, -9.570069999999999e-05, -7.973789999999998e-05, -6.37959e-05, -4.784821e-05, -3.1899460000000006e-05, -1.594999e-05, 2.1772000000000003e-09]",55731.29419122539
Thu Aug 10 12:34:31 2023,294.049,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435447, -0.00012759940000000002, -0.0001116481, -9.570120000000001e-05, -7.973893e-05, -6.379662000000001e-05, -4.784855e-05, -3.189951e-05, -1.595056e-05, 1.6857e-09]",55730.71521013387
Thu Aug 10 12:34:39 2023,294.049,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435429, -0.00012759609999999998, -0.0001116482, -9.56993e-05, -7.973746e-05, -6.37951e-05, -4.7847039999999994e-05, -3.18983e-05, -1.594915e-05, 3.1806999999999996e-09]",55730.93874062714
Thu Aug 10 12:34:47 2023,294.050,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.00014354100000000001, -0.0001275962, -0.0001116466, -9.569920000000001e-05, -7.973734000000001e-05, -6.379533999999999e-05, -4.7847359999999996e-05, -3.18983e-05, -1.5949160000000004e-05, 3.0420999999999997e-09]",55731.51780176785
Thu Aug 10 12:34:55 2023,294.048,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.00014354279999999998, -0.0001275961, -0.0001116482, -9.57019e-05, -7.973746e-05, -6.379535999999999e-05, -4.7847649999999996e-05, -3.189894e-05, -1.5949949999999998e-05, 2.7862e-09]",55731.09858819361
Thu Aug 10 12:35:03 2023,294.048,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435432, -0.000127595, -0.00011164689999999999, -9.57015e-05, -7.973657000000001e-05, -6.379449e-05, -4.784649000000001e-05, -3.1897990000000005e-05, -1.5948850000000002e-05, 3.890699999999999e-09]",55730.801015561134
Thu Aug 10 12:35:11 2023,294.048,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435399, -0.0001275923, -0.00011164540000000001, -9.569770000000001e-05, -7.973547999999999e-05, -6.379356e-05, -4.784557e-05, -3.189709e-05, -1.594831e-05, 3.7542e-09]",55732.025952528194
Thu Aug 10 12:35:19 2023,294.049,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.00014354059999999999, -0.00012759310000000002, -0.00011164640000000002, -9.56973e-05, -7.973707e-05, -6.379483999999998e-05, -4.784716e-05, -3.189813e-05, -1.5949040000000002e-05, 3.2553e-09]",55732.10135068627
Thu Aug 10 12:35:27 2023,294.049,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435411, -0.0001275935, -0.00011164570000000001, -9.56996e-05, -7.973758999999999e-05, -6.379545000000001e-05, -4.784799e-05, -3.189939e-05, -1.595009e-05, 2.3056e-09]",55732.39935536688
Thu Aug 10 12:35:35 2023,294.049,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.00014354209999999998, -0.00012759669999999997, -0.0001116457, -9.56985e-05, -7.973738e-05, -6.379542e-05, -4.7847600000000006e-05, -3.189869999999999e-05, -1.594953e-05, 2.5873e-09]",55731.57382629876
Thu Aug 10 12:35:43 2023,294.048,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435436, -0.0001275963, -0.0001116481, -9.570140000000001e-05, -7.973722e-05, -6.379473999999999e-05, -4.7847079999999997e-05, -3.18984e-05, -1.594932e-05, 3.1822e-09]",55730.68848364767
Thu Aug 10 12:35:51 2023,294.048,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435412, -0.00012759630000000002, -0.000111648, -9.570120000000002e-05, -7.973687999999999e-05, -6.379448e-05, -4.7846649999999994e-05, -3.189827999999999e-05, -1.5949109999999997e-05, 3.4329999999999996e-09]",55731.051835652564
Thu Aug 10 12:35:59 2023,294.049,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435407, -0.00012759430000000002, -0.0001116457, -9.569910000000001e-05, -7.97361e-05, -6.379355999999999e-05, -4.784578e-05, -3.189702e-05, -1.5947910000000004e-05, 4.319400000000001e-09]",55731.28211644819
Thu Aug 10 12:36:07 2023,294.048,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.00014354270000000002, -0.0001275954, -0.00011164750000000002, -9.57002e-05, -7.973603e-05, -6.379414e-05, -4.784616e-05, -3.18976e-05, -1.5948549999999998e-05, 3.785499999999999e-09]",55730.77316806261
Thu Aug 10 12:36:15 2023,294.048,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435398, -0.00012759379999999998, -0.0001116449, -9.56981e-05, -7.973605e-05, -6.379394e-05, -4.784616000000001e-05, -3.189721e-05, -1.594821e-05, 4.1089e-09]",55731.813991985
Thu Aug 10 12:36:23 2023,294.048,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435415, -0.00012759430000000002, -0.00011164680000000002, -9.56979e-05, -7.973652e-05, -6.379448999999999e-05, -4.784637000000001e-05, -3.189788e-05, -1.5948779999999997e-05, 3.0314999999999997e-09]",55731.60317100129
Thu Aug 10 12:36:31 2023,294.049,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435405, -0.0001275928, -0.00011164430000000001, -9.5699e-05, -7.973655000000001e-05, -6.379439e-05, -4.784641e-05, -3.189781e-05, -1.594869e-05, 3.6542000000000005e-09]",55732.07141059945
