Time,Temperature,Voltage,Amps,Resistance
Thu Aug 10 11:04:00 2023,294.073,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435431, -0.0001275956, -0.0001116477, -9.56997e-05, -7.973796e-05, -6.379598e-05, -4.784792e-05, -3.1899260000000005e-05, -1.594992e-05, 2.0256e-09]",55731.50210480937
Thu Aug 10 11:04:04 2023,294.073,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.00014354009999999998, -0.000127593, -0.00011164530000000001, -9.569790000000001e-05, -7.973729e-05, -6.379513e-05, -4.7847269999999996e-05, -3.189868e-05, -1.5949509999999998e-05, 2.3181e-09]",55732.60493391937
Thu Aug 10 11:04:13 2023,294.073,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.00014354119999999997, -0.000127595, -0.00011164640000000002, -9.570030000000002e-05, -7.973726e-05, -6.379572e-05, -4.784756e-05, -3.189894e-05, -1.594955e-05, 2.5214000000000004e-09]",55731.855985142276
Thu Aug 10 11:04:22 2023,294.075,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435413, -0.0001275946, -0.00011164689999999999, -9.56987e-05, -7.973693000000001e-05, -6.379487e-05, -4.784715e-05, -3.18984e-05, -1.5949339999999996e-05, 2.8939e-09]",55731.7486043847
Thu Aug 10 11:04:31 2023,294.073,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435402, -0.00012759589999999997, -0.0001116449, -9.56997e-05, -7.973751e-05, -6.379539e-05, -4.784760999999999e-05, -3.189934e-05, -1.595009e-05, 2.1933e-09]",55732.28591914641
Thu Aug 10 11:04:40 2023,294.074,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.00014354119999999997, -0.0001275928, -0.0001116445, -9.56984e-05, -7.973660999999999e-05, -6.379428e-05, -4.7846790000000003e-05, -3.189779e-05, -1.594909e-05, 3.7867e-09]",55732.007204492336
