Time,Temperature,Voltage,Amps,Resistance
Thu Aug 10 12:18:35 2023,294.050,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.00014354199999999998, -0.000127594, -0.0001116443, -9.56976e-05, -7.973654e-05, -6.379444e-05, -4.784685e-05, -3.189831000000001e-05, -1.5949240000000002e-05, 2.8798e-09]",55732.00763832801
Thu Aug 10 12:18:38 2023,294.050,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.00014354, -0.00012759159999999997, -0.00011164610000000003, -9.569829999999998e-05, -7.973636e-05, -6.379393999999999e-05, -4.784631000000001e-05, -3.1897720000000006e-05, -1.594864e-05, 3.4357e-09]",55732.21123208698
Thu Aug 10 12:18:45 2023,294.050,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435366, -0.0001275924, -0.00011164350000000001, -9.56957e-05, -7.97356e-05, -6.379351000000001e-05, -4.7846109999999996e-05, -3.1897189999999996e-05, -1.594817e-05, 4.1526999999999995e-09]",55732.91312505868
