Time,Temperature,Voltage,Amps,Resistance
Thu Aug 10 13:01:15 2023,294.049,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435439, -0.000127598, -0.00011164860000000001, -9.570189999999999e-05, -7.973932e-05, -6.3797e-05, -4.784928e-05, -3.1900859999999995e-05, -1.5951860000000003e-05, 2.6719999999999997e-10]",55731.630051299435
Thu Aug 10 13:01:18 2023,294.049,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435417, -0.00012759630000000002, -0.00011164520000000002, -9.570019999999998e-05, -7.973772e-05, -6.379558e-05, -4.7847760000000004e-05, -3.1899219999999996e-05, -1.595037e-05, 1.7096e-09]",55732.00719254907
Thu Aug 10 13:01:26 2023,294.049,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.00014354359999999995, -0.0001275966, -0.00011164890000000002, -9.570099999999998e-05, -7.973957e-05, -6.379761000000001e-05, -4.784964e-05, -3.190111e-05, -1.595197e-05, 2.366e-10]",55731.99967002389
Thu Aug 10 13:01:34 2023,294.049,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435398, -0.00012759529999999998, -0.00011164540000000001, -9.56991e-05, -7.973825e-05, -6.379598999999998e-05, -4.784832999999999e-05, -3.189967e-05, -1.595037e-05, 1.8309000000000002e-09]",55732.62464480668
Thu Aug 10 13:01:42 2023,294.049,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435438, -0.0001275969, -0.0001116503, -9.57013e-05, -7.973876000000001e-05, -6.379644e-05, -4.78487e-05, -3.190002999999999e-05, -1.595106e-05, 1.1193e-09]",55731.264873617365
