Time,Temperature,Voltage,Amps,Resistance
Fri Jul 21 14:12:57 2023,4.355,"[0.0, 0.25, 0.5, 0.75, 1.0]","[2.0376e-09, 4.480984e-06, 8.973012e-06, 1.3451739999999998e-05, 1.79442e-05]",55735.04658411737
Fri Jul 21 14:13:01 2023,4.361,"[0.0, 0.25, 0.5, 0.75, 1.0]","[-1.5639999999999996e-09, 4.479218e-06, 8.972729e-06, 1.345179e-05, 1.7945689999999996e-05]",55720.14048359482
