Time,Temperature,Voltage,Amps,Resistance
Thu Aug 10 12:17:08 2023,294.080,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435396, -0.00012759259999999998, -0.0001116438, -9.569630000000001e-05, -7.973555999999999e-05, -6.379368e-05, -4.784572000000001e-05, -3.189731e-05, -1.5947799999999997e-05, 4.1266e-09]",55732.18417670891
Thu Aug 10 12:17:10 2023,294.050,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.00014354089999999998, -0.00012759319999999997, -0.00011164479999999999, -9.56969e-05, -7.973668999999999e-05, -6.379460000000001e-05, -4.7846939999999994e-05, -3.1898870000000005e-05, -1.594954e-05, 2.3754e-09]",55732.53335748583
Thu Aug 10 12:17:18 2023,294.050,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435385, -0.00012759369999999998, -0.00011164230000000001, -9.56955e-05, -7.973482000000001e-05, -6.379294999999999e-05, -4.784516e-05, -3.189662e-05, -1.594746e-05, 4.559099999999999e-09]",55732.19921756802
