Time,Temperature,Voltage,Amps,Resistance
Thu Aug 10 12:20:04 2023,294.048,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435427, -0.00012759429999999997, -0.00011164489999999999, -9.56987e-05, -7.973748e-05, -6.379520000000001e-05, -4.7847580000000004e-05, -3.189893e-05, -1.5949770000000002e-05, 1.8827e-09]",55732.073263144186
Thu Aug 10 12:20:07 2023,294.049,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.00014354229999999997, -0.0001275946, -0.00011164480000000002, -9.56997e-05, -7.973588999999999e-05, -6.379405e-05, -4.784611999999999e-05, -3.1897469999999995e-05, -1.5948289999999997e-05, 3.3505e-09]",55731.31491304125
Thu Aug 10 12:20:14 2023,294.080,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.000143542, -0.00012759569999999998, -0.0001116464, -9.56996e-05, -7.973709e-05, -6.379474e-05, -4.784706999999999e-05, -3.1898549999999996e-05, -1.594934e-05, 2.9056e-09]",55731.45049768885
